Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Pedalumdrehungen insgesamt,Body Battery Abnahme ((no dash)),Minimale Temperatur,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Ø Atemfrequenz,Minimale Atemfrequenz,Maximale Atemfrequenz,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Rennradfahren,2025-05-26 17:21:36,false,"Hasle bei Burgdorf Rennradfahren","7.74","198","00:33:35","106","119","0.7","13.8","25.3","53","28","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:03:36.7","8","19.0","19","13","27","00:33:28","00:33:45","586","630"
Rennradfahren,2025-05-26 16:09:26,false,"Zäziwil Rennradfahren","21.87","509","00:52:09","130","156","2.8","25.2","36.3","83","163","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:01:49.5","22","25.0","28","20","35","00:52:05","00:52:09","587","713"
Rennradfahren,2025-05-26 08:00:19,false,"Bike2Work","22.39","626","00:57:54","135","166","3.3","23.2","47.7","202","237","--","--","--","0.0","--","--","--","--","--","14.0","Nein","00:00:45.4","23","20.0","30","17","41","00:57:46","00:58:10","563","711"
Rennradfahren,2025-05-23 19:40:48,false,"Affoltern im Emmental Rennradfahren","11.04","274","00:25:13","133","168","2.5","26.3","53.9","99","301","--","--","--","0.0","--","--","--","--","--","10.0","Nein","00:00:08.7","12","14.0","31","20","41","00:25:08","00:25:30","585","841"
Rennradfahren,2025-05-23 18:55:19,false,"Hasle bei Burgdorf Rennradfahren","11.18","586","00:39:27","158","176","4.4","17.0","51.5","305","100","--","--","--","0.0","--","--","--","--","--","11.0","Nein","00:00:16.0","13","17.0","36","19","43","00:39:23","00:39:27","584","841"
Rennradfahren,2025-05-17 17:19:48,false,"Hasle bei Burgdorf Gravel/Offroad-Radfahren","30.88","1,001","01:32:12","135","167","4.1","20.1","51.8","500","500","--","--","--","0.0","--","--","--","--","--","15.0","Nein","00:01:23.2","31","23.0","31","15","43","01:32:00","01:39:45","543","851"
Rennradfahren,2025-05-16 16:15:35,false,"Hasle bei Burgdorf Gravel/Offroad-Radfahren","12.50","432","00:34:56","138","177","3.2","21.5","49.0","155","155","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:01:24.1","13","30.0","--","--","--","00:34:52","00:35:01","585","717"
Rennradfahren,2025-05-14 16:58:44,false,"Muri bei Bern Rennradfahren","25.89","808","01:20:24","132","165","3.4","19.3","43.6","315","286","--","--","--","0.0","--","--","--","--","--","22.0","Nein","00:01:49.7","26","31.0","29","17","38","01:20:13","01:21:39","555","711"
Rennradfahren,2025-05-14 08:07:49,false,"Hasle bei Burgdorf Rennradfahren","22.30","700","01:01:18","134","170","3.4","21.8","44.8","202","237","--","--","--","0.0","--","--","--","--","--","10.0","Nein","00:00:39.7","23","21.0","28","14","42","01:01:09","01:02:48","562","705"
Rennradfahren,2025-05-13 16:34:44,false,"Goldzoll","12.71","544","00:34:56","152","181","3.9","21.8","51.7","153","153","--","--","--","0.0","--","--","--","--","--","17.0","Nein","00:01:46.0","13","25.0","35","21","44","00:34:49","00:35:20","586","718"
Rennradfahren,2025-05-08 16:55:20,false,"Langnau im Emmental Rennradfahren","12.87","408","00:28:23","142","177","3.2","27.2","38.3","35","104","--","--","--","0.0","--","--","--","--","--","13.0","Nein","00:01:46.5","13","20.0","31","19","44","00:28:20","00:28:23","586","672"
Rennradfahren,2025-05-08 15:10:14,false,"Hasle bei Burgdorf Rennradfahren","13.37","557","00:39:36","141","158","3.6","20.3","35.9","127","39","--","--","--","0.0","--","--","--","--","--","14.0","Nein","00:01:39.6","14","24.0","29","20","36","00:39:33","00:39:36","586","686"
Rennradfahren,2025-05-01 15:47:30,false,"Oberburg Rennradfahren","6.79","237","00:22:37","--","--","0.1","18.0","27.9","62","14","--","--","--","0.0","--","--","--","--","--","27.0","Nein","00:02:33.0","7","33.0","--","--","--","00:22:29","00:22:49","550","600"
Rennradfahren,2025-05-01 15:13:59,false,"Burgdorf Rennradfahren","4.53","154","00:14:51","--","--","0.1","18.3","26.4","35","11","--","--","--","0.0","--","--","--","--","--","30.0","Nein","00:02:00.9","5","32.0","--","--","--","00:14:43","00:14:51","527","553"
Rennradfahren,2025-05-01 14:23:15,false,"Hasle bei Burgdorf Rennradfahren","10.64","345","00:30:24","--","--","0.1","21.0","34.7","17","85","--","--","--","0.0","--","--","--","--","--","26.0","Nein","00:02:18.9","11","31.0","--","--","--","00:30:06","00:30:24","531","601"
Rennradfahren,2025-04-30 17:18:25,false,"Muri bei Bern Rennradfahren","22.02","924","01:12:27","--","--","0.1","18.2","48.6","271","234","--","--","--","0.0","--","--","--","--","--","23.0","Nein","00:00:04.8","23","29.0","--","--","--","01:12:20","01:13:47","563","710"
Rennradfahren,2025-04-30 08:10:11,false,"Bike 2 Work","20.18","925","01:05:20","--","--","0.1","18.5","51.9","309","342","--","--","--","0.0","--","--","--","--","--","10.0","Nein","00:00:34.5","21","26.0","--","--","--","01:05:07","01:05:48","564","777"
Rennradfahren,2025-04-08 12:36:12,false,"Hasle bei Burgdorf Rennradfahren","42.26","1,497","02:00:09","--","--","0.1","21.1","34.2","213","222","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:00:05.6","9","27.0","--","--","--","02:00:01","02:00:28","585","737"
Rennradfahren,2025-04-03 18:33:34,false,"Auswil Rennradfahren","15.71","831","01:05:49","--","--","0.1","14.3","51.8","359","372","--","--","--","0.0","--","--","--","--","--","11.0","Nein","00:30:13","2","24.0","--","--","--","01:05:39","01:12:31","549","693"
Rennradfahren,2025-03-22 14:46:57,false,"Lützelflüh Rennradfahren","7.29","438","00:30:41","--","--","0.1","14.3","36.0","138","34","--","--","--","0.0","--","--","--","--","--","18.0","Nein","00:30:41","1","26.0","--","--","--","00:30:34","00:42:25","570","785"
Rennradfahren,2025-03-20 18:34:08,false,"Goldzoll","12.74","556","00:40:42","147","183","3.5","18.8","50.0","151","152","--","--","--","0.0","--","--","--","--","--","9.0","Nein","00:00:01.3","3","24.0","29","21","38","00:40:41","00:40:42","584","716"
Rennradfahren,2025-03-11 18:08:00,false,"Goldzoll","12.79","523","00:39:55","143","181","3.5","19.2","45.6","151","150","--","--","--","0.0","--","--","--","--","--","9.0","Nein","00:00:05.4","3","24.0","31","19","43","00:39:50","00:40:15","584","717"
Rennradfahren,2025-01-01 13:18:13,false,"Hasle bei Burgdorf Rennradfahren","10.22","377","00:33:44","127","172","2.8","18.2","36.1","130","128","--","--","--","0.0","--","--","--","--","--","1.0","Nein","00:07:10.4","2","22.0","26","16","33","00:33:41","00:34:13","574","652"
Rennradfahren,2024-10-20 14:35:17,false,"Hasle bei Burgdorf Rennradfahren","9.58","394","00:35:17","126","175","2.8","16.3","35.0","177","182","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:05:18.7","2","23.0","28","20","36","00:35:13","00:37:04","589","660"
Rennradfahren,2024-10-07 18:04:28,false,"Lauperswil Rennradfahren","15.76","561","00:42:53","142","177","3.3","22.1","43.2","114","111","--","--","--","0.0","--","--","--","--","--","14.0","Nein","00:18:25","2","25.0","29","18","42","00:42:46","00:48:11","622","677"
Rennradfahren,2024-09-08 12:07:33,false,"Affoltern im Emmental Rennradfahren","12.31","454","00:27:29","--","--","0.1","26.9","49.3","31","240","--","--","--","0.0","--","--","--","--","--","18.0","Nein","00:13:02","2","21.0","--","--","--","00:27:25","00:28:38","579","809"
Rennradfahren,2024-09-08 11:22:12,false,"Schaukäserei","11.16","629","00:44:17","--","--","0.1","15.1","49.8","305","94","--","--","--","0.0","--","--","--","--","--","18.0","Nein","00:09:13.9","2","27.0","--","--","--","00:44:14","00:44:17","586","841"
Rennradfahren,2024-09-06 14:50:05,false,"Rüegsau Rennradfahren","2.97","101","00:11:03","--","--","0.1","16.1","26.5","33","12","--","--","--","0.0","--","--","--","--","--","26.0","Nein","00:11:03","1","28.0","--","--","--","00:11:01","00:11:10","576","602"
Rennradfahren,2024-09-06 14:33:19,false,"Hasle bei Burgdorf Rennradfahren","3.30","114","00:09:02.3","--","--","0.1","21.9","38.2","5","34","--","--","--","0.0","--","--","--","--","--","20.0","Nein","00:09:02.3","1","27.0","--","--","--","00:09:02","00:09:02.3","573","602"
