Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Aerober TE,Ø Geschwindigkeit,Maximale Geschwindigkeit,Anstieg gesamt,Abstieg gesamt,Ø Trittfrequenz,Max. Trittfrequenz,Normalized Power® (NP®),Training Stress Score®,Maximale Ø Leistung (20 min),Ø Leistung,Max. Leistung,Pedalumdrehungen insgesamt,Body Battery Abnahme ((no dash)),Minimale Temperatur,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Ø Atemfrequenz,Minimale Atemfrequenz,Maximale Atemfrequenz,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Rennradfahren,2025-09-07 16:35:06,false,"Lützelflüh Rennradfahren","11.13","469","00:33:23","158","181","3.7","20.0","59.1","290","88","73","95","235","50.0","231","208","600","2371","--","25.0","Nein","00:00:13.1","12","29.0","37","21","46","00:33:20","00:33:23","584","838"
Rennradfahren,2025-09-06 17:09:05,false,"Hasle bei Burgdorf Rennradfahren","14.17","354","00:59:55","101","131","1.1","14.2","33.1","111","123","--","--","--","0.0","--","--","--","--","--","17.0","Nein","00:00:59.7","15","24.0","--","--","--","00:59:33","01:06:36","584","665"
Radfahren,2025-09-06 13:33:51,false,"Diemtigen Radfahren","3.80","56","00:11:47","87","112","0.2","19.4","48.4","3","288","--","--","--","0.0","--","--","--","--","-2","23.0","Nein","00:02:10.8","4","27.0","--","--","--","00:11:25","00:13:26","1,003","1,290"
Rennradfahren,2025-09-03 20:34:09,false,"Hasle bei Burgdorf Rennradfahren","5.22","152","00:13:59","124","177","2.2","22.4","48.7","32","33","60","94","275","28.8","--","155","739","692","--","17.0","Nein","00:00:38.7","6","25.0","26","16","44","00:13:57","00:13:59","583","601"
Radfahren,2025-08-20 17:24:11,false,"Utzenstorf Radfahren","20.08","613","00:58:29","130","158","2.9","20.6","31.9","152","29","--","--","--","0.0","--","--","--","--","-5","19.0","Nein","00:00:20.2","21","22.0","--","--","--","00:58:07","00:59:15","475","600"
Rennradfahren,2025-08-20 07:20:38,false,"Hasle bei Burgdorf Rennradfahren","22.22","597","00:48:04","144","181","3.5","27.7","51.9","191","227","71","92","219","60.3","202","181","561","3189","--","17.0","Nein","00:00:22.8","23","25.0","32","13","48","00:47:55","00:51:42","564","709"
Rennradfahren,2025-08-15 09:11:16,false,"Hasle bei Burgdorf Rennradfahren","8.37","273","00:19:34","147","181","3.1","25.7","55.6","138","135","72","104","252","50.4","--","206","714","1291","--","24.0","Nein","00:00:53.4","9","27.0","33","18","45","00:19:30","00:20:01","590","715"
Rennradfahren,2025-08-13 16:29:57,false,"Muri bei Bern Rennradfahren","22.25","614","00:56:10","143","177","3.7","23.8","50.8","225","191","--","--","--","0.0","--","--","--","--","--","31.0","Nein","00:00:40.0","23","40.0","31","16","39","00:56:00","00:59:01","563","709"
Rennradfahren,2025-08-13 07:13:53,false,"Hasle bei Burgdorf Rennradfahren","22.28","493","00:51:56","132","178","3.1","25.7","53.4","196","228","--","--","--","0.0","--","--","--","--","--","16.0","Nein","00:00:36.4","23","22.0","27","15","44","00:51:50","00:52:19","565","709"
Radfahren,2025-08-08 14:46:48,false,"Hasle bei Burgdorf Radfahren","54.86","1,174","02:05:28","139","174","3.5","26.2","55.7","408","528","--","--","--","0.0","--","--","--","--","-22","32.0","Nein","00:01:28.6","55","37.0","28","13","38","02:05:00","02:29:45","418","588"
Radfahren,2025-08-08 09:26:02,false,"Hasle bei Burgdorf Radfahren","14.79","336","00:34:22","131","173","3.0","25.8","48.7","155","158","--","--","--","0.0","--","--","--","--","-10","26.0","Nein","00:01:36.0","15","29.0","--","--","--","00:34:18","00:36:52","581","686"
Radfahren,2025-08-06 18:15:27,false,"Hasle bei Burgdorf Radfahren","0.74","21","00:01:39.2","150","173","1.1","26.8","32.5","24","--","--","--","--","0.0","--","--","--","--","--","27.0","Nein","00:01:39.2","1","28.0","32","23","40","00:01:39","00:01:39.2","583","608"
Radfahren,2025-08-06 17:58:48,false,"Hasle bei Burgdorf Radfahren","4.86","99","00:12:40","116","175","1.6","23.0","47.5","32","43","--","--","--","0.0","--","--","--","--","-1","26.0","Nein","00:02:06.3","5","29.0","23","13","39","00:12:30","00:13:16","582","606"
Radfahren,2025-08-06 12:18:44,false,"Hasle bei Burgdorf Radfahren","11.81","334","00:26:02","149","181","3.4","27.2","55.9","145","148","--","--","--","0.0","--","--","--","--","-7","26.0","Nein","00:01:34.6","12","29.0","35","23","45","00:25:59","00:26:02","582","712"
Radfahren,2025-08-05 18:32:39,false,"Lyssach Radfahren","15.43","446","00:34:04","153","181","3.9","27.2","34.9","131","39","--","--","--","0.0","--","--","--","--","-9","28.0","Nein","00:00:59.1","16","31.0","31","19","43","00:33:56","00:34:09","506","595"
Radfahren,2025-08-05 17:08:08,false,"Hasle bei Burgdorf Radfahren","15.16","386","00:33:27","142","168","3.2","27.2","37.3","32","123","--","--","--","0.0","--","--","--","--","-7","29.0","Nein","00:00:34.3","16","31.0","28","18","36","00:33:16","00:33:51","504","597"
Radfahren,2025-07-27 15:09:32,false,"Hasle bei Burgdorf Radfahren","4.14","222","00:25:48","123","162","2.4","9.6","26.8","142","146","--","--","--","0.0","--","--","--","--","-6","21.0","Nein","00:00:43.7","5","30.0","--","--","--","00:25:03","00:33:57","591","704"
Rennradfahren,2025-07-24 14:39:50,false,"Hasle bei Burgdorf Rennradfahren","44.72","1,072","02:14:09","130","173","3.3","20.0","48.3","555","515","--","--","--","0.0","--","--","--","--","--","15.0","Nein","00:01:29.7","45","30.0","30","14","46","02:13:49","02:19:19","498","850"
Radfahren,2025-07-18 19:29:38,false,"Lützelflüh Radfahren","5.46","111","00:19:48","102","129","0.5","16.5","30.4","37","17","--","--","--","0.0","--","--","--","--","-3","27.0","Nein","00:02:00.4","6","31.0","--","--","--","00:19:36","00:38:35","572","606"
Radfahren,2025-07-16 15:13:48,false,"Burgdorf Radfahren","9.58","273","00:28:53","127","166","2.2","19.9","32.7","84","22","--","--","--","0.0","--","--","--","--","-5","27.0","Nein","00:01:46.4","10","31.0","--","--","--","00:28:46","00:31:55","531","599"
Radfahren,2025-07-16 08:18:59,false,"Hasle bei Burgdorf Radfahren","9.44","143","00:24:47","104","115","0.6","22.9","31.1","15","62","--","--","--","0.0","--","--","--","--","-3","22.0","Nein","00:01:34.4","10","27.0","--","--","--","00:24:41","00:24:57","531","583"
Radfahren,2025-07-15 13:59:57,false,"Langnau im Emmental Radfahren","12.35","291","00:36:00","121","168","2.4","20.6","48.7","123","196","--","--","--","0.0","--","--","--","--","-7","27.0","Nein","00:00:54.5","13","31.0","--","--","--","00:35:57","00:36:00","594","714"
Radfahren,2025-07-15 12:40:54,false,"Hasle bei Burgdorf Radfahren","13.38","325","00:40:57","119","136","1.9","19.6","34.8","147","54","--","--","--","0.0","--","--","--","--","-7","26.0","Nein","00:01:35.9","14","31.0","--","--","--","00:40:49","00:41:24","582","687"
Radfahren,2025-07-14 18:56:56,false,"Lützelflüh Radfahren","14.84","309","00:59:31","102","139","0.9","15.0","31.0","126","120","--","--","--","0.0","--","--","--","--","-10","27.0","Nein","00:03:00.5","15","32.0","--","--","--","00:59:09","01:03:12","584","665"
Rennradfahren,2025-07-13 19:31:55,false,"Hasle bei Burgdorf Rennradfahren","22.19","634","01:08:45","134","171","3.5","19.4","51.8","394","394","--","--","--","0.0","--","--","--","--","--","20.0","Nein","00:00:34.8","23","28.0","29","13","44","01:08:40","01:08:45","567","858"
Radfahren,2025-07-10 12:24:55,false,"Hasle bei Burgdorf Radfahren","5.58","120","00:17:13","109","149","0.9","19.4","29.5","30","31","--","--","--","0.0","--","--","--","--","-3","27.0","Nein","00:02:05.2","6","29.0","--","--","--","00:17:06","00:27:26","575","597"
Rennradfahren,2025-07-09 16:33:37,false,"Muri bei Bern Rennradfahren","29.99","703","01:36:42","122","155","2.5","18.6","45.5","270","241","--","--","--","0.0","--","--","--","--","--","23.0","Nein","00:01:57.2","30","30.0","27","13","35","01:36:17","02:03:57","552","641"
Rennradfahren,2025-07-09 08:18:44,false,"Hasle bei Burgdorf Rennradfahren","20.14","467","00:59:19","125","164","2.5","20.4","47.6","233","267","--","--","--","0.0","--","--","--","--","--","13.0","Nein","00:00:28.9","21","25.0","26","14","38","00:59:12","00:59:22","564","703"
Rennradfahren,2025-07-08 19:24:31,false,"Hasle bei Burgdorf Rennradfahren","12.51","403","00:31:11","151","177","3.4","24.1","48.7","159","157","--","--","--","0.0","--","--","--","--","--","15.0","Nein","00:01:19.3","13","26.0","36","19","46","00:31:08","00:31:11","585","717"
Rennradfahren,2025-07-04 12:59:36,false,"Hasle bei Burgdorf Rennradfahren","100.03","2,247","04:36:43","129","167","3.8","21.7","53.1","813","807","--","--","--","0.0","--","--","--","--","--","24.0","Nein","00:00:15.0","101","36.0","28","15","40","04:36:02","05:41:37","554","710"
Radfahren,2025-07-02 15:51:03,false,"Oberburg Radfahren","5.71","131","00:19:46","106","132","0.7","17.3","31.2","114","72","--","--","--","0.0","--","--","--","--","-2","29.0","Nein","00:02:32.1","6","35.0","--","--","--","00:19:38","00:19:49","552","600"
Radfahren,2025-07-02 15:17:51,false,"Burgdorf Radfahren","4.58","94","00:15:15","104","115","0.4","18.0","23.8","38","16","--","--","--","0.0","--","--","--","--","-2","33.0","Nein","00:02:13.1","5","36.0","--","--","--","00:15:09","00:15:15","536","560"
Radfahren,2025-07-02 07:51:00,false,"Hasle bei Burgdorf Radfahren","9.49","135","00:26:43","98","126","0.4","21.3","36.6","10","63","--","--","--","0.0","--","--","--","--","-4","23.0","Nein","00:01:38.9","10","30.0","--","--","--","00:26:37","00:28:53","531","592"
Radfahren,2025-07-01 15:13:18,false,"Burgdorf Radfahren","5.37","178","00:17:03","131","145","2.1","18.9","28.2","140","102","--","--","--","0.0","--","--","--","--","-3","33.0","Nein","00:01:17.2","6","35.0","--","--","--","00:16:58","00:17:56","553","597"
Radfahren,2025-07-01 14:19:08,false,"Lützelflüh Radfahren","10.02","278","00:22:00","144","159","3.0","27.3","34.4","19","51","--","--","--","0.0","--","--","--","--","-6","29.0","Nein","00:00:03.2","11","35.0","--","--","--","00:21:56","00:22:14","546","591"
Radfahren,2025-06-30 18:52:57,false,"Hasle bei Burgdorf Radfahren","9.14","233","00:22:48","130","169","2.5","24.0","49.0","90","87","--","--","--","0.0","--","--","--","--","-5","28.0","Nein","00:00:24.5","10","31.0","--","--","--","00:22:45","00:22:48","584","644"
Radfahren,2025-06-29 10:40:44,false,"Hasle bei Burgdorf Radfahren","3.33","62","00:08:35.7","107","121","0.4","23.2","31.5","3","30","--","--","--","0.0","--","--","--","--","-2","29.0","Nein","00:00:52.2","4","30.0","--","--","--","00:08:34","00:08:35.7","570","600"
Radfahren,2025-06-27 16:58:59,false,"Hasle bei Burgdorf Radfahren","6.03","164","00:19:02","117","148","1.6","19.0","41.0","53","50","--","--","--","0.0","--","--","--","--","-2","31.0","Nein","00:00:05.5","7","33.0","--","--","--","00:18:51","00:20:23","573","595"
Radfahren,2025-06-27 12:57:01,false,"Lützelflüh Radfahren","3.66","111","00:11:42","121","160","1.5","18.8","33.0","32","34","--","--","--","0.0","--","--","--","--","-2","29.0","Nein","00:02:31.6","4","32.0","--","--","--","00:11:34","00:12:21","569","598"
Rennradfahren,2025-06-26 22:12:05,false,"Hasle bei Burgdorf Rennradfahren","35.33","651","01:32:33","120","173","2.5","22.9","37.6","205","208","--","--","--","0.0","--","--","--","--","--","17.0","Nein","00:00:53.2","36","28.0","26","16","42","01:32:18","01:34:40","542","664"
